title,overview,genres,keywords,cast,director
The Dark Knight,"Batman faces the Joker, a criminal mastermind who creates chaos in Gotham City.",Action Crime Drama,Batman Joker Gotham City Superhero,Christian Bale Heath Ledger Gary Oldman,Christopher Nolan
Batman Begins,Bruce Wayne becomes Batman and fights criminals threatening Gotham City.,Action Crime Drama,Batman Gotham City Superhero Bruce Wayne,Christian Bale Michael Caine Liam Neeson,Christopher Nolan
The Dark Knight Rises,Batman returns to protect Gotham from the powerful terrorist Bane.,Action Crime Drama,Batman Gotham City Bane Superhero,Christian Bale Tom Hardy Anne Hathaway,Christopher Nolan
Iron Man,A wealthy industrialist builds a powerful armored suit and becomes a superhero.,Action Adventure Science Fiction,Iron Man Superhero Technology Marvel,Robert Downey Jr Gwyneth Paltrow Jeff Bridges,Jon Favreau
Iron Man 2,Tony Stark faces new enemies while protecting his technology and identity.,Action Adventure Science Fiction,Iron Man Superhero Technology Marvel,Robert Downey Jr Mickey Rourke Scarlett Johansson,Jon Favreau
The Avengers,Marvel superheroes join together to stop an alien invasion threatening Earth.,Action Adventure Science Fiction,Superhero Avengers Marvel Alien Invasion,Robert Downey Jr Chris Evans Scarlett Johansson,Joss Whedon
Avengers Infinity War,The Avengers and their allies fight Thanos as he seeks powerful infinity stones.,Action Adventure Science Fiction,Avengers Thanos Marvel Superhero Infinity Stones,Robert Downey Jr Chris Evans Chris Hemsworth,Anthony Russo Joe Russo
Avengers Endgame,The Avengers attempt to reverse the devastating consequences of Thanos's actions.,Action Adventure Science Fiction,Avengers Thanos Marvel Superhero Time Travel,Robert Downey Jr Chris Evans Chris Hemsworth,Anthony Russo Joe Russo
Spider-Man,A teenager gains spider-like abilities and becomes a superhero protecting New York.,Action Adventure Science Fiction,Spider Man Superhero New York Marvel,Tobey Maguire Kirsten Dunst Willem Dafoe,Sam Raimi
Spider-Man 2,Spider-Man struggles with his personal life while fighting the dangerous Doctor Octopus.,Action Adventure Science Fiction,Spider Man Superhero Doctor Octopus Marvel New York,Tobey Maguire Kirsten Dunst Alfred Molina,Sam Raimi
Man of Steel,Superman discovers his origins and must protect Earth from an invading Kryptonian force.,Action Adventure Science Fiction,Superman Krypton Superhero Alien Invasion DC,Henry Cavill Amy Adams Michael Shannon,Zack Snyder
Wonder Woman,An Amazon warrior leaves her island and enters a world at war to fight evil.,Action Adventure Fantasy,Wonder Woman Superhero Amazon DC War,Gal Gadot Chris Pine Robin Wright,Patty Jenkins
Justice League,Superheroes unite to defend Earth from a powerful alien threat.,Action Adventure Science Fiction,Justice League Superhero DC Alien Invasion,Ben Affleck Gal Gadot Henry Cavill,Zack Snyder
Inception,A skilled thief enters people's dreams to steal secrets and attempts an impossible mission.,Action Science Fiction Thriller,Dreams Heist Time Mind Technology,Leonardo DiCaprio Joseph Gordon-Levitt Tom Hardy,Christopher Nolan
Interstellar,Explorers travel through a wormhole in search of a new home for humanity.,Adventure Drama Science Fiction,Space Wormhole Time Travel Exploration Future,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan
The Matrix,A computer hacker discovers that reality is a simulated world controlled by machines.,Action Science Fiction,Virtual Reality Artificial Intelligence Machines Hacker,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski Lilly Wachowski
Avatar,A marine joins an alien world and becomes involved in a conflict between humans and its inhabitants.,Action Adventure Fantasy Science Fiction,Alien Planet Nature Space Technology,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron
Titanic,Two people from different social backgrounds fall in love aboard a doomed ocean liner.,Drama Romance,Love Ship Historical Disaster,Leonardo DiCaprio Kate Winslet Billy Zane,James Cameron
The Notebook,A young couple falls deeply in love despite social differences and family obstacles.,Drama Romance,Love Relationship Family,Ryan Gosling Rachel McAdams James Garner,Nick Cassavetes
La La Land,An aspiring actress and a jazz musician pursue their dreams while falling in love.,Comedy Drama Romance Music,Love Music Dreams Hollywood,Ryan Gosling Emma Stone John Legend,Damien Chazelle
The Shawshank Redemption,A banker imprisoned for a crime he did not commit builds hope and friendship inside prison.,Drama,Prison Friendship Hope Redemption,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont
Forrest Gump,A kind and determined man experiences major events in American history while searching for love.,Drama Romance,Life Friendship Love History,Tom Hanks Robin Wright Gary Sinise,Robert Zemeckis
Gladiator,A Roman general is betrayed and becomes a gladiator seeking revenge against a corrupt emperor.,Action Drama,Rome Gladiator Revenge War Empire,Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott
The Lord of the Rings The Fellowship of the Ring,A young hobbit begins a dangerous journey to destroy a powerful ring and defeat evil.,Adventure Fantasy Drama,Hobbit Ring Middle Earth Fellowship Magic,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson
Harry Potter and the Sorcerer's Stone,A young orphan discovers he is a wizard and begins his magical education.,Adventure Fantasy,Wizard Magic Hogwarts Friendship,Daniel Radcliffe Emma Watson Rupert Grint,Chris Columbus
Jurassic Park,"Scientists create dinosaurs from ancient DNA, but the creatures escape and threaten visitors.",Adventure Science Fiction Thriller,Dinosaurs Park Genetic Engineering Survival,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg
The Hunger Games,A young woman volunteers for a deadly televised competition and becomes a symbol of resistance.,Adventure Science Fiction Thriller,Dystopia Survival Competition Revolution,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Gary Ross
Mad Max Fury Road,A warrior and a group of rebels flee across a dangerous wasteland while fighting a tyrant.,Action Adventure Science Fiction,Post Apocalyptic Survival Chase War,Tom Hardy Charlize Theron Nicholas Hoult,George Miller
John Wick,A retired assassin returns to his violent past after criminals destroy his peaceful life.,Action Crime Thriller,Assassin Revenge Gunfight Crime,Keanu Reeves Michael Nyqvist Alfie Allen,Chad Stahelski
Mission Impossible Fallout,An elite spy races against time to stop a global catastrophe after a mission goes wrong.,Action Adventure Thriller,Spy Mission Espionage CIA Terrorism,Tom Cruise Henry Cavill Rebecca Ferguson,Christopher McQuarrie
